start,end,window_size,order,r2,c_0,c_1,c_2,c_3,c_4,c_5
1,900,900,5,0.43708805583116106,1.2474681067100358e-10,-3.339125670761398e-07,0.0003160449681332213,-0.1227373118598308,16.910943716812465,-330.1628905636275
101,1000,900,5,0.45917422347977177,7.489214895763289e-11,-1.7053437834756375e-07,0.00012016653268948473,-0.02159425075867043,-3.2728765961803044,632.969473642387
201,1100,900,5,0.4692219873155066,5.508403358506318e-11,-9.968282619859547e-08,4.1271785138748367e-05,0.008000952891787129,-4.476470723116302,151.90419246707896
301,1200,900,5,0.5152729563665146,-5.434682845139998e-11,1.7087339598366354e-07,-0.00018640544277530693,0.08044480134582871,-10.523014071746907,60.9895799134546
401,1300,900,5,0.35367162217535797,-9.259549646710881e-11,2.0992950213914612e-07,-0.0001559555841197817,0.036036166805960015,2.1163672838957486,-502.64337958646513
501,1400,900,5,0.31230632984471984,-3.367335965388033e-11,5.422127342467952e-08,-1.5251452533323111e-05,-0.012075506284005921,5.253021697393292,77.32729568744126
601,1500,900,5,0.3808135473283977,-2.96628210896375e-11,4.3330839124197315e-08,-3.7158355029778833e-06,-0.01656785619592687,5.462588353927433,62.56177330500592
701,1600,900,5,0.6603497777540317,8.240324684569715e-11,-2.3128936617984892e-07,0.00022383820324707663,-0.08882195310156026,11.658597355728306,200.39201659874067
801,1700,900,5,0.7044550734343136,1.2620649411140347e-10,-2.586452920089378e-07,0.00017249100329996234,-0.03896302621501453,-0.5593294511782698,706.5528116331192
901,1800,900,5,0.6588196213182137,-1.818728989864536e-11,9.668133628844437e-08,-0.00013090674598166283,0.06542899166689678,-12.702401238611799,722.4521509382291
